+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                           ;
+---------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                       ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+---------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; vga_hdmi                                                                                                                        ; 3     ; 0              ; 0            ; 0              ; 29     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx                                                                                                                              ; 28    ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i2c_config                                                                                                                      ; 4     ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pll|pll_49mhz_inst                                                                                                              ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pll                                                                                                                             ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_ai_result_register                                                                                                            ; 11    ; 16             ; 0            ; 16             ; 32     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_bdscnn_top|u_fc2|gen_fc2_mac[9].pc                                                                                            ; 64    ; 46             ; 0            ; 46             ; 7      ; 46              ; 46            ; 46              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_bdscnn_top|u_fc2|gen_fc2_mac[8].pc                                                                                            ; 64    ; 50             ; 0            ; 50             ; 7      ; 50              ; 50            ; 50              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_bdscnn_top|u_fc2|gen_fc2_mac[7].pc                                                                                            ; 64    ; 42             ; 0            ; 42             ; 7      ; 42              ; 42            ; 42              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_bdscnn_top|u_fc2|gen_fc2_mac[6].pc                                                                                            ; 64    ; 50             ; 0            ; 50             ; 7      ; 50              ; 50            ; 50              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_bdscnn_top|u_fc2|gen_fc2_mac[5].pc                                                                                            ; 64    ; 39             ; 0            ; 39             ; 7      ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_bdscnn_top|u_fc2|gen_fc2_mac[4].pc                                                                                            ; 64    ; 36             ; 0            ; 36             ; 7      ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_bdscnn_top|u_fc2|gen_fc2_mac[3].pc                                                                                            ; 64    ; 45             ; 0            ; 45             ; 7      ; 45              ; 45            ; 45              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_bdscnn_top|u_fc2|gen_fc2_mac[2].pc                                                                                            ; 64    ; 43             ; 0            ; 43             ; 7      ; 43              ; 43            ; 43              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_bdscnn_top|u_fc2|gen_fc2_mac[1].pc                                                                                            ; 64    ; 44             ; 0            ; 44             ; 7      ; 44              ; 44            ; 44              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_bdscnn_top|u_fc2|gen_fc2_mac[0].pc                                                                                            ; 64    ; 47             ; 0            ; 47             ; 7      ; 47              ; 47            ; 47              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_bdscnn_top|u_fc2                                                                                                              ; 67    ; 0              ; 1            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
